1001,110
1002,150
1003,150
1004,150
1005,130
1007,120
1008,150
1009,120
1010,110
1011,150
1012,152
1013,152
1014,152
1015,152
1016,159
1017,159
1018,159
1020,130
1021,131
1022,131
1023,150
1024,130
1025,110
1026,120
1027,158
1028,158
1029,158
1030,150
1031,155
1032,155
1033,150
1034,150
1035,110
1036,150
1037,153
1038,153
1039,150
1040,150
1041,150
1042,157
1045,157
1048,304
1049,157
1050,100
1051,157
1052,157
1053,157
1054,157
1056,156
1057,156
1058,156
1059,156
1060,156
1061,156
1062,156
1063,153
1064,153
1065,110
1066,153
1067,130
1068,150
1069,150
1070,150
1071,132
1072,132
1073,132
1074,132
1076,132
1077,132
1078,151
1079,151
1080,151
1081,120
1082,110
1083,153
1084,110
1086,100
1089,157
1090,110
1093,150
1094,130
1095,130
1096,110
1097,100
1099,150
1100,150
1107,154
1108,154
1109,154
1111,154
1112,110
1113,154
1114,120
1115,158
1116,156
1118,140
1119,153
1120,157
1121,153
1122,132
1123,110
1125,150
1126,154
1127,120
1128,158
1129,132
1130,110
1131,236
1132,140
1133,140
1134,140
1135,140
1136,132
1137,304
1138,304
1139,153
1140,153
1141,120
1142,153
1143,120
1144,132
1145,304
1146,158
1147,132
1148,150
1149,304
1150,154
1151,154
1152,303
1153,152
1154,110
1155,132
1156,120
1157,156
1158,156
1159,132
1160,120
1161,120
1162,157
1163,132
1164,120
1165,120
1166,304
1167,132
1168,158
1169,140
1170,157
1171,157
1172,154
1173,130
1174,303
1175,150
1176,120
1177,132
1178,110
1179,150
1180,150
1181,154
1182,304
1183,154
1184,120
1185,120
1186,120
1187,110
1188,130
1189,157
1190,150
1191,153
1192,150
1193,110
1194,130
1195,140
1196,153
1197,132
1198,150
1199,154
1200,110
1201,156
1202,100
1203,110
1204,100
1205,158
1206,150
1207,110
1208,150
1209,304
1210,130
1211,304
1212,150
1213,153
1214,304
1215,153
1216,304
1217,159
1218,150
1219,304
1220,150
1221,304
1222,150
1223,158
1224,308
1225,150
1226,303
1227,152
1228,140
1229,140
1230,130
1231,150
1232,153
1233,301
1234,110
1235,150
1236,150
1237,130
1238,155
1239,304
1240,155
1241,154
1242,110
1243,156
1244,150
1245,213
1246,150
1247,150
1249,153
1250,120
1251,304
1252,120
1253,304
1254,120
1255,156
1256,120
1257,120
1259,304
1260,237
2000,232
2001,232
2002,232
2003,232
2004,232
2005,232
2007,220
2008,211
2009,212
2010,212
2012,234
2013,234
2014,234
